ra,dec,vmag,bv
2.097083333333333,29.090555555555554,2.06,-0.11
2.2945833333333328,59.14972222222222,2.27,0.34
3.3091666666666666,15.18361111111111,2.83,-0.23
6.437916666666666,-77.25416666666666,2.80,0.62
6.570833333333333,-42.30611111111111,2.39,1.09
9.832083333333332,30.860833333333336,3.27,1.28
10.127083333333331,56.53722222222222,2.23,1.17
10.897499999999999,-17.986666666666668,2.04,1.02
12.274999999999999,57.81583333333333,3.44,0.57
14.17708333333333,60.71666666666667,2.47,-0.15
16.520833333333332,-46.718611111111116,3.31,0.89
17.147499999999997,-10.182222222222222,3.45,1.16
17.432916666666664,35.620555555555555,2.06,1.58
21.454166666666662,60.23527777777778,2.68,0.13
37.95291666666666,89.26416666666667,2.02,0.60
22.091250000000002,-43.318333333333335,3.41,1.57
24.428749999999997,-57.236666666666665,0.46,-0.16
28.598749999999995,63.669999999999995,3.38,-0.15
28.270416666666662,29.578888888888887,3.41,0.49
28.659999999999993,20.808055555555555,2.64,0.13
29.692499999999995,-61.569722222222225,2.86,0.28
30.974999999999994,42.32972222222222,2.26,1.37
31.793333333333326,23.4625,2.00,1.15
32.38583333333332,34.98722222222222,3.00,0.14
34.83624999999999,-2.9775,3.04,1.42
40.824999999999996,3.2358333333333333,3.47,0.09
44.565416666666664,-40.30472222222222,3.24,0.14
45.56999999999999,4.089722222222222,2.53,1.64
46.19916666666666,53.506388888888885,2.93,0.70
46.29416666666667,38.84027777777778,3.39,1.65
47.04208333333333,40.955555555555556,2.12,-0.05
51.08083333333333,49.861111111111114,1.79,0.48
55.731249999999996,47.7875,3.01,-0.13
56.871249999999996,24.105,2.87,-0.09
58.53291666666666,31.88361111111111,2.85,0.12
56.80958333333332,-74.2388888888889,3.24,1.62
59.46333333333333,40.01027777777778,2.89,-0.18
59.5075,-13.508611111111112,2.95,1.59
60.16999999999999,12.490277777777777,3.47,-0.12
63.60624999999999,-62.473888888888894,3.35,0.91
67.16541666666666,15.870833333333334,3.40,0.18
68.97999999999999,16.509166666666665,0.85,1.54
68.49916666666665,-55.044999999999995,3.27,-0.10
72.46,6.961388888888889,3.19,0.45
74.24833333333333,33.16611111111111,2.69,1.53
75.49208333333331,43.82333333333334,2.99,0.54
76.62874999999998,41.23444444444444,3.17,-0.18
76.36541666666666,-22.371111111111112,3.19,1.46
76.96249999999999,-5.086388888888888,2.79,0.13
78.23291666666665,-16.205555555555556,3.31,-0.11
79.17249999999999,45.99805555555556,0.08,0.80
78.63458333333332,-8.201666666666666,0.12,-0.03
81.11916666666666,-2.3969444444444443,3.36,-0.17
81.28291666666665,6.349722222222222,1.64,-0.22
81.57291666666667,28.6075,1.65,-0.13
82.06124999999999,-20.759444444444444,2.84,0.82
83.00166666666665,-0.29916666666666664,2.23,-0.22
